destination_wallet,valid_stamps_count,tx_count,contributor_count,stamp_holders_tx,amount_usd_total,holders_ratio,amount_per_contributor,round
0x170BfFc327885dB67594b9b840E06Cd8cee48701,18.0,45,45,37.0,376.610400055,0.8222222222222222,8.369120001222223,gr15
0x17483a88242f13198Ec6a4a9F1D92665676a3e95,26.0,13,13,12.0,77.19048476,0.9230769230769231,5.937729596923077,gr15
0x17d0f39f93acc2762bfe013c1b3fab0ccb56e335,6612.0,4124,4124,687.0,1698.09029901847,0.1665858389912706,0.4117580744467677,fantom
0x17e4285BeE986aE686504131D3D5ABE0009f297A,26.0,54,54,43.0,1046.68183509,0.7962962962962963,19.382996946111113,gr15
0x181b12729cCB398a7151635e7a61Fc9EDD3369Bb,61.0,37,37,29.0,44.07635045,0.7837837837837838,1.1912527148648648,gr15
0x18C35943cC5CF265e44d7d66e4Ff7683eb8716A5,294.0,204,204,139.0,779.0431154754,0.6813725490196079,3.81883880135,gr15
0x18aa467E40E1deFB1956708830A343c1D01d3D7C,11340.0,16903,16903,14965.0,40075.980452621385,0.8853457966041531,2.3709389133657566,gr15
0x1953fCeF1369df610B2407dBe5a4190535284D47,0.0,15,15,12.0,36.5078975,0.8,2.4338598333333334,gr15
0x1963A6cc8DEb426AE196a95D9e91aC3dFFfC67cB,23.0,106,106,85.0,334.400997540325,0.8018867924528302,3.1547263918898585,gr15
0x1A1eAA933226f913C248A158d20Be05735B9d343,19.0,112,112,105.0,129.9615583657,0.9375,1.1603710568366072,gr15
0x1Ab75FEA1f27A6dfAfF81b0371AB6d57E112906B,15.0,381,381,360.0,4657.464667915,0.9448818897637795,12.224316713687664,gr15
0x1C3fb05D835d83f0777159dB36e38f74E2b27dcE,0.0,20,20,16.0,211.031139405,0.8,10.551556970250001,gr15
0x1C4a70EaDeCc48e436Efd0E997445D71DF57a4ED,48.0,202,202,178.0,1652.168261502035,0.8811881188118812,8.179050799515025,gr15
0x1C677CFf7159a7675713A505f1D55fa0c415d2d2,837.0,395,395,211.0,414.885607345,0.5341772151898734,1.0503433097341772,gr15
0x1C95930Dfc1139381265ce45B5f480F1EFae09A1,15.0,40,40,32.0,904.1635424225,0.8,22.6040885605625,gr15
0x1E2410217C2071046194372Edfd12540b9308029,8.0,42,42,40.0,272.45879994,0.9523809523809523,6.487114284285714,gr15
0x1E79b045Dc29eAe9fdc69673c9DCd7C53E5E159D,4.0,19,19,16.0,183.10176726,0.8421052631578947,9.636935118947369,gr15
0x1E91264736008082BF63B6C20d36a93A329083D8,44.0,35,35,31.0,58.50598555,0.8857142857142857,1.671599587142857,gr15
0x1F7b953113f4dFcBF56a1688529CC812865840e1,144.0,175,175,149.0,10884.702497655,0.8514285714285714,62.1982999866,gr15
0x1a6EF6CC28cF60aa0504CfB21CdffA48Cfe3A8FB,519.0,244,244,182.0,782.93448354,0.7459016393442623,3.2087478833606555,gr15
0x1a947AdAC676da2Fa97f348985f26c82a1537023,122.0,1036,1036,1026.0,1901.72754977,0.9903474903474904,1.8356443530598456,gr15
0x1aC6a323322F3Dad7B7E286d57b6a654cb2a46d1,15.0,120,120,101.0,642.0813979295,0.8416666666666667,5.350678316079167,gr15
0x1aD44446A588010AB6b741cd0201b92f84B597bB,45.0,82,82,63.0,392.60774924461833,0.7682926829268293,4.787899381031931,gr15
0x1b37B1EC6B7faaCbB9AddCCA4043824F36Fb88D8,0.0,14,14,13.0,87.40048598,0.9285714285714286,6.242891855714285,gr15
0x1b8556BDc549D20De33eCba674CF3Bbb88CfEd0A,2.0,123,123,117.0,321.9807545,0.9512195121951219,2.617729711382114,gr15
0x1d970Bdc0828CeBFe8c7E4BdBc68908e12C56A30,10331.0,9949,9949,8398.0,22006.925476453478,0.8441049351693638,2.211973613072015,gr15
0x1dda018bc491b02794497cc1df3d73c8d474ae6f,3847.0,1592,1592,399.0,275.76263209498,0.2506281407035176,0.1732177337280025,fantom
0x1f5CE2eDdaAAe75ff62729feE50F861bCDC0b62e,0.0,14,14,14.0,34.163355,1.0,2.440239642857143,gr15
0x1f9F5a2511C4Ca5B768dadD067bC19916dd59d88,191.0,138,138,108.0,519.612277105,0.782608695652174,3.7653063558333333,gr15
0x1f9fF9D42361537bb2E1e9C77Fe462146837fBCC,2122.0,1433,1433,1145.0,6874.596545321813,0.7990230286113049,4.797345809715153,gr15
0x2007288C1D35cf8674514ed4860b8Adfa0F0349c,14.0,72,72,65.0,891.821711785,0.9027777777777778,12.386412663680556,gr15
0x2042e13FFaB5233237a386c144F04CfcD10A864a,15.0,148,148,138.0,875.29242828,0.9324324324324325,5.914138028918918,gr15
0x20D08E58952bb70ff0EC1271085cA969C14BE2a3,245.0,150,150,136.0,335.637178042,0.9066666666666666,2.2375811869466666,gr15
0x21539334f45Ac41Bd10789942b744a18a4775d6d,38.0,32,32,27.0,353.5432802057797,0.84375,11.048227506430615,gr15
0x21F9F77f867E321Df0747ad62e96602Bd603E734,0.0,20,20,18.0,37.92946998,0.9,1.896473499,gr15
0x21f53DB4D2eAcde70a2E4F0407D073C971eC1A33,42.0,22,22,16.0,69.64195887,0.7272727272727273,3.165543585,gr15
0x2242f42F5AC525d967DfA9f21098160870Edd978,0.0,11,11,11.0,89.1587528,1.0,8.105341163636364,gr15
0x228458226d1F04a01720022Cc04BA207C1AE8f25,50.0,283,283,277.0,7155.884827603038,0.9787985865724381,25.28581211167151,gr15
