index,address,valid_stamps_count,stamp_providers,issuance_date
104,0x4c4b7df476464c0ad8ab3c3e04d917a15e1e7663,0,,
105,0x61e56f3f7087477bff2b2c3a6a7ac177a367fa94,0,,
106,0x90ddc22bf218325ad3e911838197f04f0df5d670,0,,
107,0x3906ddbae2d8af0581a38a09c90e14b48f3d2f94,0,,
108,0xe7ccdcea665c9a41ca5c65396459da681be16d29,0,,
109,0x9a7e9d330c85fbc5c954264cd5fe1079f37e3c67,0,,
110,0x48c50f05375cc0af7c3d7f08010ebc992cc5666c,0,,
111,0x215dc1eba42e29d38d6ed64bf078fe4acb0f179a,12,"[""Twitter"",""TwitterTweetGT10"",""TwitterFollowerGT100"",""Facebook"",""FacebookProfilePicture"",""Google"",""Discord"",""Lens"",""Linkedin"",""EthGTEOneTxnProvider"",""Ens"",""Github""]",
112,0x15debba43720e28cd69ff1faad45775ee6d21e45,0,,
113,0x2b362720c3a22fe7d8f09d648d0c32e743a2faa4,0,,
114,0x64ac284155aa1278ea12b51c436e6ff3744cc46c,9,"[""GitcoinContributorStatistics#numGrantsContributeToGte#1"",""FirstEthTxnProvider"",""EthGTEOneTxnProvider"",""Google"",""Discord"",""POAP"",""ZkSync"",""NFT"",""Github""]",
115,0x3fda99ef77b8129d42288d290754655b3426a70a,0,,
116,0x8478fbf80781be1bc9f78c005924780bbe5fb9e8,7,"[""Github"",""Discord"",""FirstEthTxnProvider"",""EthGTEOneTxnProvider"",""SnapshotVotesProvider"",""GitcoinContributorStatistics#numGrantsContributeToGte#1"",""GitcoinContributorStatistics#numGrantsContributeToGte#10""]",
117,0xe0ea08d669deb5ccbe3df4cafdd55b201c6d3222,0,,
118,0x92a848b0a1e5a92a8abe5345ec21ef87d86797ac,0,,
119,0x08b6259203111b7e33297848b6120492e30e9e6f,0,,
120,0xe4a2905447680ddb9a2e090baebc55502e9019ab,0,,
121,0x026d41f89df628b0eab57062893a60a07cdf8822,0,,
122,0x96b67ab20370c9588be01ebc6aa3f3c836166870,0,,
123,0x1fc310f45b5b22a8e95a8f0e1fcff9d3c825edc6,14,"[""gtcPossessionsGte#10"",""gtcPossessionsGte#100"",""TwitterTweetGT10"",""TwitterFollowerGT100"",""Twitter"",""Github"",""Discord"",""POAP"",""ZkSync"",""FirstEthTxnProvider"",""EthGTEOneTxnProvider"",""NFT"",""SnapshotVotesProvider"",""Brightid""]",2022-11-19T19:36:56.269Z
124,0x8b803e1db0fe91bd16e0c2efa702e322b7d73cd3,0,,
125,0x81adf6f13c5c13930666ed339b693aefb99fa9d7,8,"[""ZkSync"",""FirstEthTxnProvider"",""EthGTEOneTxnProvider"",""Lens"",""NFT"",""Ens"",""Facebook"",""FacebookProfilePicture""]",2022-09-21T21:35:59.905Z
126,0x21ce0dd6c4173a626c8e30c2dc4d132d5137d4db,0,,
127,0x95b0cb330519db2bcaf74b90c1bde3d62f673718,0,,
128,0x24ad730b6f694879165418f96886accfa737b7ff,6,"[""Twitter"",""TwitterTweetGT10"",""Google"",""SnapshotVotesProvider"",""NFT"",""Github""]",
129,0x4eeb31f74064331425fa8418b52bbcae70498bdd,0,,
130,0xb49b1afcf73acb2e25722e641ebd466a84bbd728,0,,
131,0xb982a76636e78626c2b6b080f49610581814df97,12,"[""Twitter"",""TwitterTweetGT10"",""Github"",""Discord"",""FirstEthTxnProvider"",""EthGTEOneTxnProvider"",""SnapshotVotesProvider"",""NFT"",""ZkSync"",""Google"",""Ens"",""Linkedin""]",
132,0x4e6894fe7ce538926979b1b5807299718bad63d2,14,"[""Ens"",""Discord"",""FirstEthTxnProvider"",""EthGTEOneTxnProvider"",""NFT"",""ZkSync"",""SnapshotVotesProvider"",""Lens"",""GnosisSafe"",""POAP"",""Twitter"",""TwitterTweetGT10"",""TwitterFollowerGT100"",""TwitterFollowerGT500""]",2022-06-20T09:46:41.184Z
133,0xb55669908e6ec476c18ca83d3753ad1713fd4a03,0,,
134,0xcaf11c3bdb9172d7479717e4329857a77d97ffc8,0,,
135,0x78ada78893ac528ee4d54a658a4cd72c95f230d0,0,,
136,0x475060616fd5b39a1a2ee5ef07e0c163b3f0df7d,4,"[""FirstEthTxnProvider"",""EthGTEOneTxnProvider"",""NFT"",""ZkSync""]",
137,0x7b089327abfe544838d19c9b789cf2e208bbc7f8,0,,
138,0x7b6dc894e2dd7bd0c433a5894fa7baab0ebcb572,0,,
139,0x25d9c3e1d5d77a4214553b8bb61f5dfbb670907a,0,,
140,0xa4d30d8d0187eea99e0a626991a693ed64f20795,0,,
141,0x72474cf4486119cf26b380a20702885eb561e6ea,4,"[""Brightid"",""Linkedin"",""ZkSync"",""SnapshotVotesProvider""]",
142,0xebbe020cbd5524bb66f123b57744697d8ce48c55,0,,
143,0x159943c9328c89f362b81f04d71ad44fc8a9d2ff,0,,
144,0x3ac51118a30f4187747fcebbaad1a804d0b9b775,0,,
145,0x14d15f15f1151d82e0aa5f2443b7da68f981424c,0,,
146,0x0cbbaa432c70f335f940931d3595b70ed8bc9bfd,0,,
147,0xd259cbb47e43972d7c3a785dd893c0da449991ce,0,,
148,0xadf44724617d891b933fab904cf6e939a167aa1f,0,,
149,0xcbf248983d465da9cf6353dfe09fb34c90fff7ff,13,"[""Twitter"",""TwitterTweetGT10"",""TwitterFollowerGT100"",""gtcPossessionsGte#10"",""POAP"",""Discord"",""FirstEthTxnProvider"",""EthGTEOneTxnProvider"",""SnapshotVotesProvider"",""NFT"",""GnosisSafe"",""ZkSync"",""Ens""]",
150,0x3d67f9f0cf14c125c61b7b42751aa2a25f3d20be,0,,
151,0x89ca68787ec401cb2091a3122bec70530b93d3b5,11,"[""Lens"",""FirstEthTxnProvider"",""EthGTEOneTxnProvider"",""SnapshotVotesProvider"",""NFT"",""ZkSync"",""POAP"",""Ens"",""Discord"",""Twitter"",""TwitterTweetGT10""]",
152,0x34ae1ede6b3a5b05589b8fc5bbc453cb4c6f3aeb,13,"[""Twitter"",""TwitterTweetGT10"",""TwitterFollowerGT100"",""Discord"",""Facebook"",""FacebookProfilePicture"",""Google"",""FirstEthTxnProvider"",""EthGTEOneTxnProvider"",""SnapshotVotesProvider"",""NFT"",""Github"",""Linkedin""]",
153,0x034ca94f65cdf33acff6e0976bb1ad4484c1f629,0,,
154,0xdbc93fae06e031fc4d0ee8ae6d5fca75f2619f8c,12,"[""Facebook"",""FacebookProfilePicture"",""Twitter"",""Google"",""Github"",""Discord"",""Linkedin"",""FirstEthTxnProvider"",""EthGTEOneTxnProvider"",""NFT"",""ZkSync"",""GnosisSafe""]",
155,0x75570fc0a8d491fc7d14a0b4c13ca902d65854e1,0,,
156,0xa1ace6c87352e26ae8aae4bc37f0a1c74ba737fa,10,"[""Discord"",""ZkSync"",""NFT"",""POAP"",""Github"",""Linkedin"",""TwitterFollowerGT100"",""TwitterTweetGT10"",""Twitter"",""Google""]",
157,0x59b5988725182569b8bc86a7fd6991a2a0a0ecf4,0,,
158,0x2d04057ce396a0865cd67814a88af7fb4d229269,0,,
159,0xcb5f5ee4550caaddd438e5cadce0eb3b54a2e4a2,0,,
160,0xe2362a145bb9413190fb28f35385ccb3ce99cf76,6,"[""Google"",""ZkSync"",""Discord"",""Twitter"",""FirstEthTxnProvider"",""EthGTEOneTxnProvider""]",
161,0x7a11212d5f6e9e3faf44a508cd42b9861377331e,8,"[""Twitter"",""TwitterTweetGT10"",""Google"",""Discord"",""Github"",""FirstEthTxnProvider"",""EthGTEOneTxnProvider"",""NFT""]",
162,0x2975e77ff2954f27e0b18403ccf02c528053ae4c,0,,
163,0xda71fa24ad1f9d26cdd15d6bb1579ab33bf027a7,0,,
164,0x1cd09530a1843d1cb62995c6b45428f69fbb3d8b,0,,
165,0xb2c59334430eeadc795fe1dc40df1a5d24a1d1b3,0,,
166,0xa18153f94b831b5e60604a596b99f14559c6ae6f,0,,
167,0x8ee4afd8862b3b2e4c56e708d2cfa94b7b525db6,0,,
168,0xa88082b0745750a1471c7f8202f7bcb53e6e5061,0,,
169,0x4e95618dee41b0c9724da027ed400c426b7f1c41,0,,
170,0x68977a1f7ea1724974e27b97cb2545074f9004de,7,"[""Twitter"",""TwitterTweetGT10"",""TwitterFollowerGT100"",""TwitterFollowerGT500"",""TwitterFollowerGTE1000"",""Google"",""POAP""]",
171,0xb9ea5623ad4339c0fe09d16b1abfc47498e70dae,13,"[""SnapshotVotesProvider"",""TwitterFollowerGT100"",""TwitterTweetGT10"",""Twitter"",""Facebook"",""FacebookProfilePicture"",""Github"",""Discord"",""NFT"",""EthGTEOneTxnProvider"",""Linkedin"",""Google"",""Ens""]",
